,subject,age,gender,trial,colour1,colour2,col1_name,col2_name,colour_distance,category,accuracy,rt
77,85,19,f,78,"[1, -0.775, -0.55]","[1, -0.925, -0.85]",pink,red,0.3,across,1,644.5129417
78,85,19,f,79,"[1, -0.7, -0.4]","[1, -0.85, -0.7]",pink,red,0.3,across,1,476.8365129
79,85,19,f,80,"[1, -0.7, -0.4]","[1, -0.625, -0.25]",pink,pink,0.15,within,0,857.1770056
80,85,19,f,81,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -1.0, -1.0]",pink,red,1.35,across,1,597.948467
81,85,19,f,82,"[1, -0.85, -0.7]","[1, -0.55, -0.10000000000000009]",red,pink,0.6,across,1,589.1963401
82,85,19,f,83,"[1, -0.475, 0.050000000000000044]","[1, -1.0, -1.0]",pink,red,1.05,across,1,547.2474812
83,85,19,f,84,"[1, -0.85, -0.7]","[1, -0.32500000000000007, 0.34999999999999987]",red,pink,1.05,across,1,596.6963311
84,85,19,f,85,"[1, -0.7, -0.4]","[1, -0.925, -0.85]",pink,red,0.45,across,1,441.0631818
85,85,19,f,86,"[1, -0.925, -0.85]","[1, -0.55, -0.10000000000000009]",red,pink,0.75,across,1,675.2813202
86,85,19,f,87,"[1, -1.0, -1.0]","[1, -0.32500000000000007, 0.34999999999999987]",red,pink,1.35,across,1,676.1892597
87,85,19,f,88,"[1, -0.925, -0.85]","[1, -0.625, -0.25]",red,pink,0.6,across,1,528.7424422
88,85,19,f,89,"[1, -0.55, -0.10000000000000009]","[1, -1.0, -1.0]",pink,red,0.9,across,1,693.0410281
