,subject,age,gender,trial,colour1,colour2,col1_name,col2_name,colour_distance,category,accuracy,rt
142,worldofwarcraftexpert,22,f,143,"[1, -0.775, -0.55]","[1, -0.4, 0.19999999999999996]",pink,pink,0.75,within,1,512.2892439
143,worldofwarcraftexpert,22,f,144,"[1, -0.625, -0.25]","[1, -0.7, -0.4]",pink,pink,0.15,within,1,632.6358614
144,worldofwarcraftexpert,22,f,145,"[1, -0.475, 0.050000000000000044]","[1, -0.85, -0.7]",pink,pink,0.75,within,1,622.7331648
145,worldofwarcraftexpert,22,f,146,"[1, -0.475, 0.050000000000000044]","[1, -0.55, -0.10000000000000009]",pink,pink,0.15,within,0,1002.763317
146,worldofwarcraftexpert,22,f,147,"[1, -0.55, -0.10000000000000009]","[1, -0.475, 0.050000000000000044]",pink,pink,0.15,within,0,846.6664512
147,worldofwarcraftexpert,22,f,148,"[1, -0.55, -0.10000000000000009]","[1, -0.85, -0.7]",pink,pink,0.6,within,1,2497.689371
148,worldofwarcraftexpert,22,f,149,"[1, -0.55, -0.10000000000000009]","[1, -1.0, -1.0]",pink,red,0.9,across,1,544.1117556
149,worldofwarcraftexpert,22,f,150,"[1, -0.475, 0.050000000000000044]","[1, -0.625, -0.25]",pink,pink,0.3,within,1,879.3266269
150,worldofwarcraftexpert,22,f,151,"[1, -0.55, -0.10000000000000009]","[1, -0.775, -0.55]",pink,pink,0.45,within,1,1250.079381
151,worldofwarcraftexpert,22,f,152,"[1, -0.775, -0.55]","[1, -1.0, -1.0]",pink,red,0.45,across,1,584.6038075
152,worldofwarcraftexpert,22,f,153,"[1, -0.7, -0.4]","[1, -1.0, -1.0]",pink,red,0.6,across,1,733.2191484
153,worldofwarcraftexpert,22,f,154,"[1, -0.4, 0.19999999999999996]","[1, -0.7, -0.4]",pink,pink,0.6,within,1,1162.286756
154,worldofwarcraftexpert,22,f,155,"[1, -0.775, -0.55]","[1, -0.925, -0.85]",pink,red,0.3,across,1,1032.220056
155,worldofwarcraftexpert,22,f,156,"[1, -0.4, 0.19999999999999996]","[1, -1.0, -1.0]",pink,red,1.2,across,1,687.4451453
156,worldofwarcraftexpert,22,f,157,"[1, -0.7, -0.4]","[1, -0.625, -0.25]",pink,pink,0.15,within,1,1208.221829
157,worldofwarcraftexpert,22,f,158,"[1, -0.625, -0.25]","[1, -0.775, -0.55]",pink,pink,0.3,within,1,701.1596491
158,worldofwarcraftexpert,22,f,159,"[1, -0.475, 0.050000000000000044]","[1, -0.775, -0.55]",pink,pink,0.6,within,1,751.9945175
159,worldofwarcraftexpert,22,f,160,"[1, -0.55, -0.10000000000000009]","[1, -0.625, -0.25]",pink,pink,0.15,within,0,1962.010681
160,worldofwarcraftexpert,22,f,161,"[1, -1.0, -1.0]","[1, -0.85, -0.7]",red,pink,0.3,across,1,932.9668746
161,worldofwarcraftexpert,22,f,162,"[1, -0.775, -0.55]","[1, -0.85, -0.7]",pink,pink,0.15,within,1,617.2393611
